Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
e0a1e0f6-7df4-4b7f-bd0c-c1ccf17dcc8c,2017-09-04 07:45:12,Running,,2.45,19:28,7:57,7.55,306.0,120,,"","",2017-09-04-074512.gpx
a2453618-c60b-4fb0-a2a5-c975c038f2a3,2017-09-02 07:13:25,Running,,3.88,32:59,8:30,7.06,505.0,370,,"","",2017-09-02-071325.gpx
41fee974-6184-455c-b99d-71b8fc1185c1,2017-08-31 06:22:07,Running,,3.27,28:27,8:42,6.90,428.0,328,,"","",2017-08-31-062207.gpx
1a18e91e-d44a-4e46-8bf8-b21988e14c0f,2017-08-30 06:49:22,Running,,1.64,13:31,8:14,7.29,213.0,161,,"","",2017-08-30-064922.gpx
97814d69-3ff2-4005-bdb3-11590d854016,2017-08-29 06:25:26,Running,,3.35,28:02,8:23,7.16,436.0,332,,"","",2017-08-29-062526.gpx
ecf1bd1f-6c36-4e79-856f-018226a5f7c4,2017-08-25 06:39:35,Running,,3.29,28:47,8:45,6.86,427.0,331,,"","",2017-08-25-063935.gpx
a670b7cd-607e-4cff-bab9-b54cd128f80d,2017-08-23 06:39:23,Running,,2.64,23:33,8:56,6.72,338.0,226,,"","",2017-08-23-063923.gpx
6a6ee157-4384-4e94-a06f-a7be18723a7a,2017-08-22 06:42:06,Running,,2.86,25:17,8:51,6.78,370.0,281,,"","",2017-08-22-064206.gpx
0523e3f4-da42-4487-9cce-b0019c8c1b66,2017-08-21 07:08:37,Running,,3.31,30:44,9:17,6.46,432.0,337,,"","",2017-08-21-070837.gpx
394d52bd-ad41-47e1-9000-1a852182d081,2017-08-19 06:56:33,Running,,3.29,28:03,8:32,7.03,427.0,326,,"","",2017-08-19-065633.gpx
57a9d26e-072e-46d4-b5d9-2f1eb0da8377,2017-08-18 06:40:20,Running,,3.31,28:35,8:38,6.96,431.0,334,,"","",2017-08-18-064020.gpx
6e7487a3-7602-43ed-aea5-8fd3311a5a3b,2017-08-16 06:31:35,Running,,3.31,29:48,9:00,6.67,430.0,328,,"","",2017-08-16-063135.gpx
19ca03ce-2685-4cf1-9d03-dcf88a39a730,2017-08-15 06:38:41,Running,,3.24,27:01,8:20,7.20,423.0,332,,"","",2017-08-15-063841.gpx
ee217e16-6fe0-4211-94f9-a4ced048656b,2017-08-13 11:08:56,Running,,3.28,30:31,9:19,6.45,427.0,335,,"","",2017-08-13-110856.gpx
02fbda48-38d7-43d6-abef-8e276bac29e8,2017-08-11 07:02:05,Running,,3.26,27:46,8:30,7.05,424.0,325,,"","",2017-08-11-070205.gpx
de667ae7-0d65-4fc3-b58a-d310d3e28c47,2017-08-10 06:42:20,Running,,3.04,25:42,8:28,7.09,393.0,290,,"","",2017-08-10-064220.gpx
8dfeed41-01e5-485a-b388-e3092b98b7c0,2017-08-08 06:50:08,Running,,3.26,27:38,8:28,7.08,424.0,327,,"","",2017-08-08-065008.gpx
74576bb4-770a-4fad-bfb6-ce2400d62781,2017-08-05 06:39:06,Running,,3.32,30:11,9:05,6.60,428.0,326,,"","",2017-08-05-063906.gpx
71a87f9b-0c62-478f-8a73-70f76ad74682,2017-08-03 07:32:56,Running,,2.15,17:00,7:55,7.58,277.0,201,,"","",2017-08-03-073256.gpx
b4bd5ac5-d2fd-4ebc-9055-37f5c7548fc8,2017-07-30 10:05:22,Running,,3.24,28:41,8:51,6.78,423.0,333,,"","",2017-07-30-100522.gpx
8c76ac5b-5bba-414d-9d8f-8691d9ed4ce3,2017-07-29 11:14:40,Running,,3.74,32:37,8:43,6.89,482.0,354,,"","",2017-07-29-111440.gpx
4241b61b-b733-4a55-98a1-3394645ebe88,2017-07-27 10:39:20,Running,,3.27,27:58,8:34,7.01,424.0,335,,"","",2017-07-27-103920.gpx
da49a4b2-1a7c-471e-a72b-32e0d55bce3e,2017-07-26 07:43:51,Running,,3.82,34:11,8:58,6.70,489.0,366,,"","",2017-07-26-074351.gpx
